commit	val_bpb	memory_gb	status	description
23fd775	0.996124	44.0	keep	baseline (no filtering)
00ea12e	0.995510	44.0	keep	filter docs shorter than 100 chars
031dfe7	0.997235	44.0	discard	add repetition filter (>50% dup lines)
b3de939	0.997458	44.0	discard	normalize excessive whitespace
026006d	0.996129	44.0	discard	raise min doc length to 200 chars
d3827fd	0.995148	44.0	keep	filter docs with alpha ratio < 0.4
fd512ee	0.996850	44.0	discard	filter docs with high symbol density (>5%)
b918441	0.995143	44.0	keep	truncate docs > 10k chars
4450513	0.996832	44.0	discard	filter by mean word length (<3 or >12)
76b5c93	1.044962	44.0	discard	increase packing buffer to 5000 (too slow)
7381c50	0.994867	44.0	keep	relax alpha ratio from 0.4 to 0.3
ff32904	0.995009	44.0	discard	relax alpha ratio further to 0.2
2d00710	0.995825	44.0	discard	bisect-sorted buffer (buffer=2000)
55287a2	0.998892	44.0	discard	remove truncation (worse without it)
