✓ Initialized. View run at 
https://modal.com/apps/newperson953/main/ap-eM6cqOQfoqCf80dThivI6A
✓ Created objects.
├── 🔨 Created mount /Users/huy.dangxuan/Desktop/autoresearch/modal_app.py
├── 🔨 Created mount train.py
├── 🔨 Created mount prepare.py
├── 🔨 Created function prepare_data.
└── 🔨 Created function train.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011194 | lrm: 1.00 | dt: 64875ms | tok/sec: 8,081 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854495 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,086 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442104 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,138 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.972298 | lrm: 1.00 | dt: 367ms | tok/sec: 1,430,437 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578835 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,810 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248418 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,950 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998203 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,722 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.788273 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,359 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.608604 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,223 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.456027 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,582 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325728 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,634 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217146 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,567 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120391 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,640 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034887 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,807 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.963141 | lrm: 1.00 | dt: 340ms | tok/sec: 1,541,459 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.899183 | lrm: 1.00 | dt: 340ms | tok/sec: 1,539,858 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.843478 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,018 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.788348 | lrm: 1.00 | dt: 353ms | tok/sec: 1,483,388 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.740021 | lrm: 1.00 | dt: 360ms | tok/sec: 1,456,820 | mfu: 35.2% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.694156 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,833 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.651181 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,408 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610475 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,333 | mfu: 37.3% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574864 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,341 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.537353 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,907 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.501074 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,414 | mfu: 38.2% | epoch: 1 | remaining: 295s    
